Genero,Tipo_Colegio,Score_Matematicas,Score_Lectura,Score_Ciencias,Score_Total,3_Comidas_por_día,Apoderado_con_estudios_superiores,Internet,estudio_diario,Eval_cont,Psi_evaluacion,uso_digital_escuela,asesoria_parental
Masculino,Privado,508.94900000000007,548.6638,532.4625000000001,530.0251000000001,Si,No,Si,No,Si,Si,No,Si
Masculino,Publico,393.8574,462.5601,401.9715,419.463,Si,Si,Si,Si,Si,Si,Si,Si
Femenino,Publico,353.65200000000004,382.4761,445.8664,393.9981666666667,No,No,Si,Si,No,No,Si,Si
Femenino,Publico,364.0399,399.3831,394.552,385.9916666666666,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,332.4324,274.26179999999994,300.90279999999996,302.53233333333327,Si,No,No,No,No,Si,Si,Si
Femenino,Publico,335.5897,333.6989,371.80809999999997,347.03223333333335,No,Si,No,No,No,Si,Si,
Femenino,Publico,330.47860000000003,390.07679999999993,352.98,357.8451333333333,No,No,No,Si,Si,Si,Si,Si
Femenino,Publico,384.5772,430.0488,473.6489,429.42496666666665,Si,No,Si,Si,No,No,Si,Si
Femenino,Publico,281.4929,278.9506,304.5727,288.3387333333333,Si,No,No,Si,Si,No,Si,Si
Masculino,Publico,331.78740000000005,396.3802,322.1418,350.10313333333335,Si,Si,Si,Si,No,Si,Si,Si
Masculino,Privado,346.0943,290.2956,384.7528,340.38089999999994,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,330.2866,368.4232,343.9518,347.5538666666667,Si,No,Si,No,No,Si,Si,Si
Masculino,Publico,318.7597,271.8531,325.22040000000004,305.27773333333334,No,No,,Si,Si,No,No,Si
Femenino,Privado,555.979,572.3011,568.33,565.5367,No,No,Si,No,No,No,Si,No
Femenino,Privado,472.30510000000004,566.7089,466.15779999999995,501.7239333333334,Si,No,Si,Si,No,Si,No,Si
Masculino,Publico,394.5081,431.60690000000005,443.07289999999995,423.0626333333333,Si,No,Si,Si,Si,Si,Si,No
Masculino,Privado,376.8048,409.8637,356.5597,381.0760666666667,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,447.0950999999999,424.5269,491.3603999999999,454.3274666666666,Si,No,Si,Si,No,No,No,No
Femenino,Publico,293.6812,279.1705,275.5869,282.81286666666665,Si,No,Si,Si,Si,No,Si,Si
Femenino,Publico,364.7969,356.1466,404.39469999999994,375.1127333333333,Si,Si,Si,No,No,No,No,
Femenino,Publico,272.2832,301.12039999999996,342.52259999999995,305.3087333333333,No,No,No,Si,Si,Si,Si,Si
Masculino,Publico,338.73449999999997,414.7159,378.937,377.46246666666667,Si,No,Si,Si,Si,Si,Si,No
Masculino,Publico,310.44329999999997,337.503,323.0680000000001,323.67143333333337,No,,No,Si,Si,Si,Si,Si
Masculino,Publico,347.2396,362.76160000000004,385.9163,365.30583333333334,Si,No,No,Si,Si,No,No,Si
Femenino,Publico,304.46270000000004,345.4389,276.5702,308.82393333333334,Si,No,Si,Si,No,No,No,Si
Femenino,Publico,482.9119999999999,526.8453999999999,460.4204,490.05926666666664,Si,No,Si,Si,Si,No,No,
Femenino,Publico,507.0866,519.1288999999999,552.4109,526.2087999999999,Si,Si,Si,No,No,No,Si,Si
Masculino,Publico,442.4973,446.31239999999997,387.198,425.33590000000004,Si,No,Si,Si,Si,No,No,Si
Masculino,Publico,337.62199999999996,375.5541,328.9936,347.38989999999995,No,Si,Si,Si,No,Si,Si,Si
Femenino,Publico,497.1366999999999,558.4680999999999,521.3318999999999,525.6455666666666,Si,Si,Si,Si,Si,Si,Si,Si
Femenino,Publico,372.33450000000005,327.68919999999997,412.463,370.8289,Si,No,Si,Si,No,No,Si,
Femenino,Publico,347.29339999999996,333.85159999999996,362.59,347.91166666666663,Si,No,Si,No,No,Si,No,No
Femenino,Privado,398.0662,473.04769999999996,400.63849999999996,423.9174666666666,Si,,Si,Si,Si,Si,Si,Si
Femenino,Publico,298.49839999999995,229.43250000000003,294.864,274.2649666666666,No,No,Si,Si,Si,No,No,No
