Genero,Tipo_Colegio,Score_Matematicas,Score_Lectura,Score_Ciencias,Score_Total,3_Comidas_por_día,Apoderado_con_estudios_superiores,Internet,estudio_diario,Eval_cont,Psi_evaluacion,uso_digital_escuela,asesoria_parental
Femenino,Privado,461.1318,552.6586,472.0787,495.2897,Si,No,Si,Si,Si,Si,No,No
Femenino,Privado,455.8287,459.19210000000004,461.1844,458.7350666666666,Si,,No,Si,No,Si,Si,Si
Masculino,Publico,482.4205,511.0322,488.49969999999996,493.9841333333334,Si,No,Si,No,No,No,Si,
Femenino,Publico,293.9366,286.3941,315.1958,298.5088333333333,No,No,Si,Si,Si,No,Si,Si
Femenino,Publico,419.2856,437.8785,400.9706,419.37823333333336,Si,No,Si,Si,No,No,Si,Si
Femenino,Publico,384.0376,365.413,364.09560000000005,371.1820666666667,Si,Si,Si,Si,No,No,No,Si
Masculino,Publico,420.1512000000001,441.8277,467.1232,443.03403333333335,Si,No,Si,Si,No,Si,No,No
Femenino,Publico,360.6499,370.00969999999995,393.9012,374.8536,Si,No,Si,Si,Si,Si,No,Si
Femenino,Publico,387.6351000000001,437.64429999999993,441.89009999999996,422.38983333333334,Si,Si,Si,Si,Si,Si,Si,Si
Femenino,Publico,494.9914999999999,526.6574,467.2898,496.31289999999996,Si,No,Si,No,Si,Si,Si,Si
Femenino,Publico,259.39799999999997,272.3524,298.4607,276.7370333333333,Si,No,,Si,Si,Si,Si,
Masculino,Publico,412.5585000000001,409.8089000000001,389.68809999999996,404.0185000000001,Si,,Si,Si,No,Si,No,Si
Masculino,Publico,405.8063,403.739,405.56910000000005,405.0381333333333,Si,No,No,Si,No,Si,Si,Si
Femenino,Publico,356.56550000000004,383.5715,333.36379999999997,357.8336,Si,No,No,Si,Si,No,Si,Si
Femenino,Privado,417.8018,429.5549,404.73510000000005,417.36393333333336,Si,Si,Si,Si,No,Si,Si,Si
Masculino,Privado,327.03069999999997,244.4576,296.5272,289.3385,Si,No,No,No,Si,Si,Si,Si
Masculino,Privado,360.5157,372.51809999999995,366.07669999999996,366.3701666666666,Si,No,Si,,Si,No,No,Si
Femenino,Privado,284.39340000000004,286.77080000000007,320.79470000000003,297.3196333333334,Si,Si,Si,Si,No,Si,No,Si
Masculino,Privado,447.4929,464.6146,518.9262,477.01123333333334,No,Si,No,Si,Si,Si,Si,Si
Masculino,Publico,368.21439999999996,430.10699999999997,395.3016,397.87433333333337,Si,No,Si,Si,Si,No,No,No
Masculino,Publico,377.1377,401.6501,446.04970000000003,408.2791666666667,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Privado,279.7548,256.6017,293.338,276.56483333333335,Si,No,Si,,No,Si,Si,Si
Femenino,Publico,376.79280000000006,344.65840000000003,373.0891,364.8467666666667,No,No,Si,Si,Si,Si,Si,Si
Masculino,Privado,423.4094,428.0959999999999,446.56450000000007,432.68996666666663,Si,No,Si,Si,No,Si,Si,Si
Masculino,Publico,337.2670999999999,383.7378,326.2571,349.08733333333333,Si,Si,Si,Si,No,Si,No,No
Femenino,Publico,358.9062,345.57340000000005,358.40690000000006,354.2955,Si,Si,Si,Si,Si,Si,Si,Si
Masculino,Privado,511.3170000000001,482.9745,486.55460000000005,493.6153666666667,Si,No,Si,Si,Si,No,Si,
Masculino,Publico,477.2254999999999,470.1496000000001,472.17740000000003,473.18416666666667,Si,No,No,Si,No,No,No,Si
Masculino,Publico,516.8594,518.3371,568.4572000000001,534.5512333333334,Si,Si,Si,No,No,No,Si,No
Masculino,Publico,482.13379999999995,443.92380000000014,405.73990000000003,443.93250000000006,No,Si,Si,Si,No,Si,Si,Si
Femenino,Publico,380.4855,420.76899999999995,415.07090000000005,405.44180000000006,Si,No,Si,Si,No,No,Si,
Masculino,Privado,353.69289999999995,344.0353,375.392,357.7067333333334,No,No,Si,No,Si,Si,Si,
Femenino,Publico,269.6145,299.3404,309.92150000000004,292.9588,Si,No,Si,Si,Si,No,No,Si
Masculino,Publico,375.0448,379.6323,401.0603,385.2458,Si,No,Si,Si,No,No,Si,
Femenino,Publico,395.37440000000004,376.13050000000004,381.4518,384.31890000000004,Si,Si,No,Si,No,No,No,Si
Masculino,Publico,376.69659999999993,416.767,435.59100000000007,409.68486666666666,Si,No,Si,Si,No,Si,Si,Si
Masculino,Publico,328.8156,390.11879999999996,298.52389999999997,339.15276666666665,Si,Si,Si,No,Si,Si,Si,Si
Femenino,Publico,366.5321,327.1296,368.88469999999995,354.1821333333333,Si,Si,Si,Si,Si,Si,No,Si
Femenino,Publico,292.3913,335.85669999999993,259.6621,295.97003333333333,Si,No,Si,Si,Si,No,Si,Si
Femenino,Publico,371.83560000000006,374.03499999999997,381.134,375.6682,Si,Si,Si,Si,No,Si,No,Si
Masculino,Publico,331.1454,374.0303,332.4877,345.88779999999997,Si,Si,Si,No,Si,No,Si,Si
Femenino,Publico,344.33810000000005,408.8407,377.4963,376.89170000000007,Si,,Si,No,Si,Si,Si,Si
Femenino,Publico,358.71369999999996,385.9753,381.1951,375.2947,No,No,Si,,No,No,Si,No
Femenino,Publico,359.4707,339.60269999999997,354.09709999999995,351.0568333333333,No,No,No,Si,No,No,Si,
Femenino,Publico,310.59889999999996,307.72689999999994,366.06460000000004,328.1301333333333,Si,,Si,No,Si,Si,Si,Si
Masculino,Publico,361.35209999999995,330.0869,347.5603,346.3331,Si,No,Si,Si,No,Si,No,No
Femenino,Publico,418.82109999999994,453.29589999999996,435.4285,435.8485,Si,No,Si,Si,No,No,No,Si
Masculino,Publico,537.86,581.0772,559.7421,559.5597666666666,Si,Si,Si,No,No,Si,Si,Si
Femenino,Publico,352.4182,346.2048000000001,407.6958,368.77293333333336,Si,Si,No,Si,Si,No,Si,Si
Femenino,Publico,397.35669999999993,378.3899,410.5236,395.42339999999996,Si,No,Si,No,Si,Si,Si,Si
Femenino,Privado,445.5973,447.99940000000004,447.7344,447.1103666666667,Si,No,No,Si,Si,Si,Si,Si
Femenino,Publico,389.39,364.97860000000003,379.84819999999996,378.0722666666666,Si,No,Si,Si,Si,Si,No,Si
Femenino,Privado,431.7371999999999,401.0871,463.5884,432.1375666666666,Si,No,No,Si,No,Si,No,Si
Masculino,Publico,361.5069,307.43860000000006,414.25789999999995,361.0678,No,No,Si,Si,No,Si,No,Si
Femenino,Publico,409.2570999999999,451.2305,472.94699999999995,444.47819999999996,Si,Si,Si,Si,Si,No,No,No
Masculino,Publico,399.3355,384.24120000000005,369.94569999999993,384.5074666666667,Si,No,Si,No,Si,Si,No,Si
Femenino,Publico,379.79060000000004,352.81050000000005,374.3486,368.9832333333334,Si,No,No,Si,No,No,Si,
Masculino,Privado,367.5182,395.0711,360.1313,374.2402,Si,No,No,Si,Si,No,No,No
Femenino,Privado,447.948,456.74809999999997,471.0906,458.5955666666666,Si,Si,Si,Si,Si,Si,No,Si
Masculino,Publico,333.31859999999995,412.7243,341.8334,362.6254333333333,No,No,No,Si,No,Si,No,No
Femenino,Publico,352.38100000000003,352.63980000000004,364.3755,356.4654333333333,Si,No,Si,Si,No,Si,Si,Si
Femenino,Publico,238.33329999999995,249.71660000000003,252.68940000000003,246.9131,No,No,,Si,Si,Si,Si,Si
Masculino,Privado,403.00280000000004,431.3165000000001,451.58959999999996,428.63630000000006,Si,Si,Si,No,Si,No,No,No
Masculino,Publico,445.5775,419.308,435.58869999999996,433.49139999999994,Si,No,Si,Si,No,Si,Si,Si
Femenino,Publico,340.99190000000004,384.43120000000005,360.76829999999995,362.06380000000007,Si,Si,Si,Si,No,Si,Si,Si
Femenino,Publico,386.86920000000003,432.5727,400.1022,406.5147,Si,Si,No,Si,Si,No,Si,Si
Femenino,Publico,363.86429999999996,443.5915999999999,397.1897,401.5485333333333,Si,Si,Si,Si,Si,Si,No,Si
Femenino,Publico,323.129,313.7634,328.7148,321.86906666666664,Si,No,Si,Si,Si,No,No,No
Femenino,Publico,356.1263,338.077,372.4438999999999,355.54906666666665,Si,No,Si,Si,No,Si,Si,
Masculino,Publico,298.24539999999996,317.6024,327.04380000000003,314.29720000000003,No,No,No,No,No,Si,Si,Si
Femenino,Publico,281.4355,279.7303,300.3685,287.17810000000003,No,No,No,Si,Si,Si,Si,No
Femenino,Publico,357.5134,391.0383999999999,335.1823,361.24469999999997,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,415.0197,400.105,439.8618,418.3288333333333,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,320.6328,372.66429999999997,260.37210000000005,317.88973333333337,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,442.72979999999995,475.61359999999996,507.1226,475.1553333333333,Si,Si,Si,No,Si,No,No,
Femenino,Publico,343.7205,306.2916,367.44410000000005,339.1520666666667,Si,No,No,No,No,Si,No,Si
Femenino,Publico,266.97,265.80400000000003,321.50069999999994,284.75823333333335,No,No,Si,No,No,Si,Si,No
Masculino,Publico,425.18549999999993,461.157,439.6516999999999,441.9980666666666,Si,No,No,Si,No,No,Si,Si
Masculino,Publico,480.7964,411.82759999999996,494.3396999999999,462.3212333333333,Si,Si,Si,Si,No,Si,Si,Si
Femenino,Publico,327.7616,376.0163,336.4875,346.75513333333333,Si,No,No,No,Si,No,No,
Masculino,Publico,389.3794000000001,422.4666000000001,377.30809999999997,396.38470000000007,No,Si,Si,Si,Si,Si,Si,Si
Masculino,Publico,456.0848,500.85909999999996,509.23040000000003,488.7247666666667,Si,No,Si,Si,No,Si,No,Si
Masculino,Privado,364.6298,384.79510000000005,362.342,370.5889666666667,Si,No,No,Si,No,Si,No,Si
Masculino,Publico,264.34489999999994,275.0899,288.1532,275.86266666666666,No,Si,Si,,No,No,No,No
Femenino,Publico,420.2701,462.96130000000005,485.91240000000005,456.38126666666676,Si,Si,Si,Si,Si,Si,Si,
Femenino,Publico,393.6643000000001,351.61709999999994,412.43230000000005,385.90456666666677,Si,No,Si,Si,Si,Si,Si,No
Femenino,Publico,381.4219,461.8715,354.8011,399.36483333333337,Si,No,Si,Si,No,Si,No,Si
Masculino,Publico,292.3082,284.89930000000004,309.1513,295.4529333333333,99,No,Si,Si,Si,Si,Si,Si
Femenino,Privado,379.8265,379.4404,420.2777,393.1815333333334,No,No,No,Si,No,Si,No,Si
Masculino,Publico,537.2876,567.153,547.9700999999999,550.8035666666666,Si,Si,Si,No,Si,Si,Si,No
Femenino,Privado,504.72569999999996,540.9168,547.2266999999999,530.9563999999999,Si,Si,Si,Si,Si,Si,Si,Si
Femenino,Publico,501.8579,549.9598,541.1714,530.9963666666666,Si,No,Si,Si,No,No,No,No
Masculino,Privado,362.0303,401.2408,347.2643,370.1784666666667,Si,No,Si,Si,Si,No,Si,
Masculino,Publico,363.03620000000006,408.84619999999995,402.4713,391.4512333333333,Si,No,,Si,No,Si,No,Si
Masculino,Privado,282.9269,273.7013,322.0983,292.90883333333335,Si,No,No,Si,Si,Si,No,Si
Femenino,Publico,366.7588,388.7103,291.9313,349.13346666666666,Si,Si,Si,Si,No,No,Si,Si
Femenino,Privado,373.6771,366.01320000000004,345.68260000000004,361.7909666666667,Si,No,Si,Si,No,Si,No,Si
Masculino,Publico,471.00370000000004,452.62069999999994,500.60649999999987,474.74363333333326,Si,Si,Si,Si,Si,Si,Si,
Masculino,Publico,403.6201,475.6958000000001,414.058,431.12463333333335,Si,No,Si,Si,No,No,No,Si
Masculino,Publico,311.7488000000001,292.64230000000003,313.8766,306.08923333333337,No,No,No,,No,No,Si,Si
Masculino,Publico,626.9812000000001,625.932,689.3942999999999,647.4358333333333,Si,Si,Si,Si,No,No,Si,No
Masculino,Publico,378.0412,375.1758,396.0119,383.0763,Si,No,No,No,Si,Si,Si,Si
Femenino,Privado,512.4736,478.23969999999997,548.8397,513.1843333333333,No,No,Si,Si,No,Si,No,No
Masculino,Publico,386.4847000000001,479.9435,418.0679,428.16536666666667,No,No,No,Si,No,Si,Si,Si
Masculino,Publico,355.9742,394.7438000000001,326.97389999999996,359.23063333333334,Si,No,Si,Si,No,No,Si,Si
Femenino,Privado,319.2495,398.55129999999997,378.6598,365.48686666666663,Si,No,Si,Si,No,Si,Si,Si
Femenino,Publico,441.5021,466.84919999999994,429.54499999999996,445.9654333333333,No,No,No,Si,Si,Si,Si,
Femenino,Privado,415.3406,448.8074,461.8397999999999,441.9959333333333,Si,Si,Si,Si,Si,No,No,Si
Femenino,Publico,343.7891,382.6085999999999,381.831,369.4095666666667,Si,No,Si,Si,Si,No,Si,Si
Masculino,Privado,302.4461,247.7134,296.91880000000003,282.35943333333336,No,No,,No,No,Si,Si,Si
Femenino,Privado,361.50769999999994,403.85260000000005,401.4362,388.93216666666666,Si,No,Si,Si,No,Si,Si,Si
Femenino,Publico,527.6039000000001,566.7981,525.0321999999999,539.8113999999999,Si,Si,Si,Si,No,Si,Si,Si
Femenino,Publico,293.5497,298.8791,282.0421,291.4903,No,No,No,Si,No,No,Si,Si
Femenino,Publico,400.6972,385.3632,389.7891000000001,391.9498333333334,No,No,Si,Si,No,Si,Si,Si
Femenino,Publico,456.785,453.1902,451.54340000000013,453.83953333333346,Si,Si,Si,Si,Si,Si,Si,
Femenino,Privado,438.8238,483.9446999999999,409.68870000000004,444.15239999999994,No,No,Si,Si,Si,Si,No,Si
Masculino,Publico,428.42479999999995,449.45320000000004,463.3535,447.07716666666664,Si,No,Si,Si,No,Si,No,No
Femenino,Publico,404.1237,417.46729999999997,438.47890000000007,420.0233,Si,No,Si,No,No,No,No,Si
Femenino,Publico,397.26000000000005,485.8576,419.8839,434.33383333333336,Si,No,Si,Si,Si,Si,No,No
Masculino,Publico,532.3521999999999,472.5428,578.5519999999999,527.8156666666666,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Privado,360.3654,385.1292,356.1226,367.2057333333333,Si,No,No,Si,Si,Si,Si,Si
Masculino,Publico,508.69359999999995,537.3249,509.1393999999999,518.3859666666666,Si,Si,Si,Si,No,Si,Si,Si
Femenino,Privado,445.99930000000006,386.55219999999997,428.95500000000004,420.50216666666665,Si,No,Si,Si,No,No,No,Si
Femenino,Publico,439.5338,485.60510000000005,524.7311,483.28999999999996,Si,Si,Si,Si,Si,Si,No,Si
Femenino,Publico,292.28599999999994,394.16360000000003,260.69210000000004,315.71389999999997,Si,No,Si,No,No,No,Si,Si
Masculino,Privado,331.6798,293.15670000000006,276.30240000000003,300.3796333333334,Si,No,Si,Si,Si,Si,No,Si
Masculino,Privado,351.93749999999994,371.74889999999994,410.81170000000003,378.16603333333325,Si,No,No,Si,Si,Si,Si,
Femenino,Publico,262.46479999999997,218.11929999999998,286.4876,255.69056666666665,Si,No,Si,Si,Si,Si,Si,
Femenino,Publico,303.8683,311.523,291.9424,302.4445666666667,No,No,Si,Si,No,Si,Si,Si
Femenino,Publico,554.0726,583.4893999999999,581.1186,572.8935333333333,Si,Si,Si,Si,No,Si,Si,Si
Femenino,Publico,363.7808,407.5497,467.82610000000005,413.0522,Si,No,Si,No,No,Si,Si,Si
Femenino,Privado,352.32910000000004,312.8218,366.42749999999995,343.8594666666667,No,No,No,Si,No,Si,Si,Si
Masculino,Publico,396.19629999999995,438.57910000000004,412.10149999999993,415.6256333333333,No,Si,Si,Si,Si,Si,No,Si
Masculino,Publico,536.0224000000001,413.88190000000003,504.09720000000004,484.6671666666668,Si,Si,Si,No,No,Si,Si,Si
Femenino,Publico,324.5491,318.2489,321.4072,321.4017333333333,Si,No,Si,Si,Si,Si,Si,No
Masculino,Publico,355.26460000000003,410.67150000000004,408.9894,391.64183333333335,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,477.7259,511.41549999999995,486.0371999999999,491.7262,Si,Si,Si,Si,Si,Si,Si,
Femenino,Publico,395.3281,458.71309999999994,506.41889999999995,453.4866999999999,No,Si,Si,Si,No,Si,Si,Si
Femenino,Privado,465.3852,477.514,474.9125,472.60390000000007,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Privado,395.2476,352.47209999999995,338.4287,362.0494666666666,Si,No,Si,No,No,Si,No,Si
Masculino,Privado,422.1375,437.7344999999999,445.6354,435.1691333333333,Si,Si,Si,Si,Si,Si,Si,Si
Femenino,Publico,439.98249999999996,512.6957,435.0392,462.5724666666667,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Privado,396.09650000000005,433.24989999999997,413.2805,414.20896666666664,Si,No,Si,Si,No,Si,No,Si
Femenino,Privado,346.30009999999993,378.30539999999996,323.0606,349.2220333333333,Si,No,No,Si,No,Si,No,Si
Masculino,Publico,440.69350000000003,503.4745,480.8227,474.99690000000004,Si,No,Si,No,Si,No,No,Si
Femenino,Publico,437.9616,406.819,453.9683,432.91630000000004,Si,Si,Si,Si,No,Si,No,Si
Masculino,Privado,466.82460000000003,591.3027,478.85990000000004,512.3290666666667,Si,No,Si,Si,No,Si,Si,Si
Masculino,Privado,391.94169999999997,392.2903,397.7907,394.00756666666666,Si,No,Si,Si,Si,No,Si,
Femenino,Privado,274.8208,288.6469,319.8512,294.43963333333335,No,No,Si,No,Si,Si,Si,No
Femenino,Publico,537.7430999999999,544.629,570.7162,551.0294333333333,Si,Si,Si,Si,No,No,No,No
Masculino,Publico,430.5928,481.1746999999999,426.0146,445.9273666666666,Si,No,Si,Si,Si,No,Si,Si
Femenino,Publico,307.2616,295.23259999999993,293.45550000000003,298.64989999999995,No,Si,,,No,No,No,Si
Femenino,Publico,342.2559,326.13090000000005,361.695,343.3606,Si,,No,Si,Si,No,No,Si
Femenino,Publico,427.63329999999996,416.59090000000003,459.6746,434.6329333333333,Si,No,Si,Si,Si,No,No,
Masculino,Publico,308.4211,326.03900000000004,378.3808,337.6136333333333,Si,Si,Si,Si,No,Si,No,Si
Femenino,Privado,388.3157,359.681,424.28959999999995,390.7620999999999,No,No,No,Si,Si,Si,Si,
Masculino,Publico,318.8797,307.42019999999997,370.7893,332.36306666666667,Si,No,Si,Si,No,No,Si,No
Masculino,Publico,416.5,428.2254,457.4841,434.0698333333333,Si,No,Si,Si,Si,No,No,No
Masculino,Privado,386.08759999999995,374.244,368.3826,376.2380666666666,Si,No,No,Si,No,Si,Si,Si
Femenino,Publico,501.07210000000003,490.5892999999999,530.8888,507.5167333333333,No,No,Si,Si,Si,No,No,Si
Femenino,Publico,479.81620000000004,514.9119000000001,495.04349999999994,496.5905333333333,No,No,Si,Si,Si,No,Si,Si
Masculino,Publico,271.32550000000003,238.47719999999998,310.98609999999996,273.5962666666667,No,No,Si,Si,Si,Si,No,Si
Femenino,Publico,508.0853,568.0043999999999,544.253,540.1142333333333,Si,Si,Si,Si,No,Si,Si,Si
Masculino,Publico,345.4079,321.3514,356.2325,340.9972666666667,Si,Si,No,Si,Si,No,Si,Si
Masculino,Privado,321.45619999999997,361.5107,329.72090000000003,337.5626,Si,Si,Si,Si,Si,Si,Si,
Masculino,Publico,383.1245,470.00149999999996,479.1032,444.0764,Si,Si,Si,Si,No,No,Si,Si
Masculino,Publico,378.12699999999995,398.725,349.0634000000001,375.30513333333334,Si,No,No,Si,No,Si,No,Si
Masculino,Publico,427.47700000000003,441.75480000000005,444.22950000000003,437.8204333333333,Si,,Si,Si,Si,Si,Si,Si
Femenino,Publico,379.83320000000003,421.0804,396.2359,399.0498333333333,Si,No,Si,No,No,No,Si,Si
Masculino,Publico,380.26959999999997,352.70099999999996,404.1009,379.02383333333336,Si,,No,No,No,Si,Si,Si
Masculino,Privado,374.7492,392.60810000000004,381.30159999999995,382.88629999999995,No,No,Si,Si,Si,Si,No,Si
Masculino,Publico,438.1693,455.0697,468.15649999999994,453.79850000000005,Si,No,Si,Si,No,No,No,Si
Femenino,Publico,296.3094,317.7004,331.9769,315.32890000000003,Si,No,No,,No,No,No,Si
Masculino,Privado,244.73999999999995,249.75119999999998,255.1664,249.88586666666666,Si,No,Si,,No,Si,Si,Si
Femenino,Publico,326.69140000000004,367.19500000000005,351.146,348.34413333333333,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,479.48820000000006,524.7291,497.1764999999999,500.46459999999996,No,No,Si,Si,No,Si,Si,Si
Femenino,Publico,444.6734,484.9205,404.2112,444.6017,Si,No,Si,No,Si,No,No,Si
Femenino,Publico,329.80989999999997,314.9483,335.58509999999995,326.7811,Si,No,No,Si,No,Si,Si,Si
Masculino,Publico,304.96099999999996,313.6435,282.97889999999995,300.52779999999996,Si,No,Si,Si,Si,No,No,No
Masculino,Privado,588.6665,631.0065,563.8452,594.5060666666667,No,No,Si,Si,Si,Si,No,Si
Masculino,Privado,335.96870000000007,325.4851,359.04359999999997,340.1658,No,No,No,,Si,No,Si,
Masculino,Publico,498.8723,510.24799999999993,501.96629999999993,503.6955333333333,Si,Si,Si,Si,Si,No,Si,Si
Masculino,Publico,405.9119,421.1968,480.5320999999999,435.8802666666666,No,Si,Si,Si,No,No,Si,Si
Femenino,Publico,380.0403999999999,431.8095,396.53990000000005,402.79659999999996,Si,No,Si,Si,Si,Si,Si,
Masculino,Publico,382.97099999999995,406.74420000000003,402.38280000000003,397.366,Si,No,Si,Si,No,Si,No,No
Masculino,Publico,334.44680000000005,401.6409,352.2758,362.7878333333333,No,No,Si,Si,No,No,Si,No
Masculino,Privado,346.122,386.90360000000004,338.7242,357.24993333333333,No,No,,Si,No,No,No,Si
Femenino,Publico,488.3423000000001,466.9916,500.83299999999997,485.3889666666667,Si,Si,Si,Si,Si,No,No,No
Femenino,Privado,451.46229999999997,432.6218,446.6618,443.5819666666667,Si,Si,Si,Si,No,No,No,No
Masculino,Privado,416.1366,403.6929,381.5201,400.44986666666665,Si,Si,Si,Si,No,Si,Si,Si
Masculino,Publico,432.9344,522.4726,483.15700000000004,479.52133333333336,Si,No,Si,Si,No,Si,Si,Si
Masculino,Publico,458.6091,530.9435,443.4474,477.6666666666667,Si,No,Si,Si,Si,No,Si,Si
Femenino,Publico,333.58230000000003,368.7927,378.842,360.4056666666667,Si,No,No,Si,No,Si,No,No
Masculino,Publico,499.1169,505.14490000000006,535.3999999999999,513.2206,Si,Si,Si,Si,Si,No,Si,Si
Masculino,Publico,327.09810000000004,386.6530000000001,354.09659999999997,355.94923333333344,Si,Si,Si,Si,No,No,No,No
Masculino,Publico,345.9895,358.0896000000001,361.59580000000005,355.2249666666667,Si,No,,Si,Si,Si,Si,Si
Masculino,Privado,324.2174,362.01179999999994,365.9166999999999,350.7153,Si,No,Si,Si,Si,No,No,
Femenino,Publico,404.0125,435.56350000000003,439.8876,426.48786666666666,Si,No,Si,Si,No,Si,Si,Si
Femenino,Publico,377.0231,391.1615,414.7034,394.296,Si,Si,Si,Si,Si,Si,Si,Si
Masculino,Privado,269.9414,274.38749999999993,238.0302,260.78636666666665,No,No,,,No,Si,Si,Si
Masculino,Publico,431.8084,417.42690000000005,439.94899999999996,429.7281,Si,No,Si,No,Si,Si,Si,Si
Femenino,Publico,286.40009999999995,334.0869,291.07880000000006,303.8552666666667,No,No,Si,Si,No,No,No,Si
Masculino,Publico,387.9493,414.15240000000006,426.7634,409.6217,Si,No,No,Si,No,No,Si,No
Femenino,Privado,408.381,412.57489999999996,399.6051,406.85366666666664,Si,No,Si,No,No,No,No,No
Femenino,Publico,389.2702,418.31359999999995,395.78190000000006,401.1218999999999,Si,No,Si,No,Si,Si,Si,Si
Femenino,Publico,313.30640000000005,317.8806,324.98009999999994,318.7223666666667,Si,No,No,Si,Si,No,No,Si
Femenino,Publico,333.09470000000005,314.24830000000003,331.8709,326.4046333333334,Si,No,No,No,Si,Si,Si,Si
Masculino,Privado,432.17390000000006,433.075,444.89930000000004,436.7160666666667,Si,Si,Si,Si,Si,Si,Si,Si
Masculino,Publico,401.56260000000003,444.2451,406.48369999999994,417.4304666666667,Si,No,Si,Si,No,No,No,Si
Femenino,Privado,307.40229999999997,294.6699,289.60679999999996,297.2263333333333,Si,Si,No,Si,Si,No,No,
Femenino,Publico,371.908,429.53280000000007,409.4815,403.6407666666667,Si,No,Si,Si,Si,No,Si,No
Masculino,Privado,406.2776,407.2703,396.6395,403.3958,No,No,Si,Si,No,Si,Si,Si
Femenino,Publico,461.95410000000004,490.5006,468.70439999999996,473.71969999999993,No,No,Si,Si,Si,No,Si,Si
Masculino,Publico,329.66190000000006,348.91569999999996,330.42560000000003,336.3344,No,No,Si,Si,No,No,Si,
Femenino,Publico,514.3079,578.3734000000001,561.6018,551.4277000000001,Si,No,Si,Si,Si,No,No,
Femenino,Publico,391.64549999999997,387.3514,401.95070000000004,393.6492,Si,No,Si,Si,No,No,Si,
Femenino,Publico,568.1348,566.6536,612.3803,582.3895666666666,Si,Si,Si,Si,Si,Si,No,No
Masculino,Privado,480.31770000000006,499.3860000000001,508.47329999999994,496.059,Si,No,Si,Si,Si,No,Si,Si
Masculino,Publico,474.5937,485.18670000000003,513.757,491.17913333333337,Si,No,Si,Si,No,Si,No,No
Masculino,Publico,530.5964,560.3018,569.3931,553.4304333333333,Si,No,Si,Si,No,Si,Si,Si
Masculino,Privado,394.04589999999996,465.86199999999997,429.7866,429.89816666666667,No,No,Si,Si,Si,No,Si,
Femenino,Publico,390.8732,477.68709999999993,384.3298,417.6300333333333,No,Si,No,Si,No,Si,Si,Si
Femenino,Publico,379.01059999999995,385.69860000000006,403.25000000000006,389.3197333333333,Si,No,No,No,Si,No,No,Si
Masculino,Publico,350.9262,367.2953,357.4629,358.5614666666667,No,Si,Si,Si,Si,Si,Si,Si
Femenino,Privado,316.8107,351.5091,338.5122,335.61066666666665, ,,,,Si,Si,Si,Si
Femenino,Publico,444.71750000000003,427.81260000000003,412.9428,428.4909666666667,Si,Si,Si,Si,Si,Si,Si,No
Femenino,Publico,410.7227,445.00840000000005,421.44569999999993,425.7256,Si,Si,Si,No,Si,Si,No,Si
Masculino,Publico,329.63190000000003,279.68850000000003,318.5981,309.3061666666667,No,No,Si,Si,No,No,Si,No
Femenino,Publico,266.91610000000003,326.04049999999995,333.05319999999995,308.6699333333333,Si,No,Si,Si,No,Si,No,No
Masculino,Privado,345.5619,432.08200000000005,384.67740000000003,387.4404333333334,Si,No,Si,Si,Si,Si,No,
Femenino,Privado,357.24089999999995,336.00989999999996,369.3668,354.2058666666667,Si,No,Si,Si,No,No,No,Si
Femenino,Publico,430.03630000000004,384.3221,389.52899999999994,401.29580000000004,Si,No,Si,Si,Si,Si,No,No
Masculino,Publico,345.7786,309.2991,365.11729999999994,340.065,Si,No,Si,Si,No,Si,Si,No
Femenino,Publico,472.8152,448.73820000000006,481.52919999999995,467.69419999999997,Si,Si,Si,Si,No,Si,Si,Si
Masculino,Privado,320.6807,334.9133,297.4273,317.6737666666667,Si,No,Si,,Si,Si,Si,Si
Masculino,Publico,463.29620000000006,468.7351,519.8318,483.95436666666666,Si,Si,Si,Si,Si,Si,Si,Si
Masculino,Publico,265.66999999999996,270.31080000000003,307.6819,281.22090000000003,Si,No,No,No,Si,Si,No,Si
Femenino,Privado,332.6931,317.25540000000007,346.67969999999997,332.2094,Si,Si,Si,Si,No,Si,Si,Si
Femenino,Publico,365.26480000000004,391.7944,345.50010000000003,367.5197666666667,Si,No,No,Si,No,Si,Si,Si
Masculino,Publico,383.21779999999995,372.43390000000005,381.1298,378.92716666666666,Si,No,Si,No,No,Si,No,Si
Femenino,Publico,398.1873,403.59670000000006,406.7774,402.85380000000004,No,Si,Si,Si,No,Si,Si,Si
Masculino,Privado,356.5412,344.19390000000004,322.9531,341.2294,No,No,Si,Si,Si,Si,Si,
Masculino,Privado,393.7613,402.3436,438.62489999999997,411.57660000000004,Si,No,Si,Si,Si,No,Si,Si
Femenino,Privado,461.11820000000006,420.4103,429.55150000000003,437.0266666666667,Si,No,Si,Si,No,Si,Si,Si
Masculino,Publico,479.7057,468.4473,519.5654000000001,489.2394666666667,Si,No,Si,Si,No,No,No,Si
